JOINT,X-TRANS,Y-TRANS,Z-TRANS,X-ROTAN,Y-ROTAN,Z-ROTAN
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0.0078,-0.0081,0.0144,0.0002,0,-0.0001
5,-0.0028,-0.0106,0.0165,0.0002,0,0
6,-0.0154,-0.0079,0.0162,0.0002,0,0.0002
7,0.045,-0.0229,0.0649,0.0001,0,-0.0001
8,0.0108,-0.03,0.065,0,0,-0.0002
9,-0.0428,-0.0222,0.0651,0,0,-0.0001
10,0.077,-0.033,0.1034,0.0001,0,-0.0001
11,0.0444,-0.0433,0.1034,0.0001,-0.0001,-0.0001
12,0.005,-0.0327,0.1033,0.0002,0,-0.0003
13,0.095,-0.0393,0.1489,0.0001,-0.0001,-0.0001
14,0.0853,-0.0511,0.1489,0,0,-0.0002
15,0.1007,-0.0391,0.1492,0.0001,-0.0001,-0.0005
16,0.0107,-0.0882,0.0266,0,0.0001,-0.0001
17,-0.0433,-0.0835,0.0262,-0.0001,0.0001,-0.0001
18,0.0049,-0.1062,0.0923,0.0025,0,0
19,-0.0347,-0.8228,0.0922,0.0033,-0.0001,0.0004
20,0.1004,-0.1423,0.1924,0.0008,0,-0.0001
21,0.1525,-0.45,0.1926,0.0016,0.0001,-0.0002
22,-0.0436,-0.0731,0.0087,-0.0004,0,0.0002
23,-0.115,0.0535,0.0084,-0.0005,-0.0002,-0.0003
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,0.0086,-0.0168,0.0022,0,0,-0.0001
29,0.0024,-0.0187,0.0017,0,0,0
30,-0.0135,-0.0163,0.007,0.0001,0,0.0002
31,-0.0581,-0.0045,0.0126,0.0001,0,0.0006
32,0.045,-0.0483,0.019,0.0001,0,-0.0001
33,0.0109,-0.0539,0.0184,0.0001,-0.0001,0
34,-0.0438,-0.0469,0.0174,-0.0001,-0.0001,-0.0001
35,-0.1151,-0.0123,0.0173,-0.0002,-0.0001,-0.0008
36,0.0782,-0.0707,0.101,0.0002,0,-0.0001
37,0.0447,-0.0837,0.1012,0.0001,-0.0001,-0.0001
38,0.005,-0.0881,0.1004,0.0012,-0.0001,-0.0003
39,-0.0348,-0.7328,0.1004,0.0034,0,0.0003
40,0.0949,-0.0863,0.2118,0.0004,-0.0001,-0.0001
41,0.0846,-0.1041,0.2115,-0.0004,0,-0.0002
42,0.0995,-0.1163,0.212,0.0009,0.0001,-0.0004
43,0.1528,-0.4998,0.2119,0.0019,0,-0.0002
44,-0.1189,-0.7134,0.0111,-0.0007,0,-0.0002
45,-0.0354,-0.7215,0.0671,0.001,-0.0001,-0.0006
46,0,0,0,0,0,0
47,0,0,0,0,0,0
48,0.0085,-0.0089,0.0071,0.0001,0,-0.0001
49,0.003,-0.016,-0.038,-0.0004,0,0
50,0.0446,-0.0251,0.0094,-0.0001,0,-0.0001
51,0.01,-0.0459,0.0084,0.0012,0,0
52,-0.0465,-0.7017,0.0076,0.0004,-0.0003,-0.0001
53,-0.1202,-0.5176,0.0076,-0.0011,0,0.0022
54,0.081,-0.0363,0.1189,0.0003,-0.0001,-0.0002
55,0.0475,-0.0754,0.1187,0.0008,0,-0.0002
56,0.005,-0.7071,0.1176,0.0012,-0.0001,-0.0004
57,-0.0355,-0.9375,0.1174,0.0009,-0.0003,-0.0014
58,0.0947,-0.0434,0.2789,0.0001,-0.0001,0.0003
59,0.0833,-0.0949,0.2794,0.0009,0,0.0002
60,0.0987,-0.7097,0.2797,0.0013,0,-0.0004
61,0.1539,-0.9643,0.2798,0.001,0.0003,-0.0014
62,0,0,0,0,0,0
63,0,0,0,0,0,0
64,0.009,-0.0016,-0.0116,-0.0001,0,-0.0001
65,0.0359,-0.0055,0.0157,0.0002,0,-0.0003
66,0.0095,-0.0037,0.0046,0.0004,0,0.0002
67,-0.1219,-0.0152,0.0041,-0.0004,0,0.002
68,0.154,-0.7255,0.3071,0.0011,0,-0.001
69,0.0297,-0.0368,0.0793,0.0001,-0.0001,-0.0001
70,-0.0247,-0.0277,0.0791,0.0001,-0.0001,-0.0002
71,0.0462,-0.0362,0.1305,0.0001,-0.0001,-0.0003
72,0.0609,-0.0474,0.1305,0.0001,0,-0.0001
73,0.0949,-0.1031,0.2072,0.0003,-0.0001,0.0002
74,0.0947,-0.2359,0.2591,0.0004,-0.0001,-0.0001
75,0.0848,-0.1029,0.2074,-0.0004,-0.0001,0.0001
76,0.0839,-0.2864,0.2592,-0.0003,-0.0001,-0.0002
77,0.0887,-0.3151,0.2592,-0.0002,0,-0.0005
78,0.0886,-0.1424,0.2075,-0.0003,0,0
79,0.0887,-0.1499,0.2116,-0.0004,-0.0001,-0.0002
80,0.1145,-0.0416,0.195,0,-0.0001,-0.0001
81,0.1841,-0.0538,0.195,0.0002,0.0002,-0.0003
82,0.2403,-0.0413,0.1949,-0.0003,0,-0.0002
