Floor,Archi_Node,Fx,Fy,Fz,Mx,My,Mz,node
2F,B'-3,0,-6.74388,0,2585.154,0,-1055.292333,16
2F,B'-4,0,-6.74388,0,-2585.154,0,-1055.292333,17
2F,B-2,0,-15.5628,0,5471.296875,0,-6614.19,7
2F,B-3,0,-15.5628,0,-5471.296875,0,-6614.19,8
2F,B1-4,0,-12.6988125,0,0,0,-15873.51563,22
2F,B1-5,0,-12.6988125,0,0,0,-15873.51563,23
2F,C-2,0,-35.66475,0,10942.59375,0,-6619.59375,32
2F,C-3,0,-58.49019,0,-5556.13575,0,-17357.44542,33
2F,C-4,0,-22.82544,0,-5386.458,0,-10737.85167,34
2F,D-2,0,-20.10195,0,5471.296875,0,13233.78375,50
2F,D-3,0,-36.18351,0,-2669.992875,0,25026.92775,51
2F,D-4,0,-28.7803725,0,-2801.304,0,27666.65963,52
2F,D-5,0,-12.6988125,0,0,0,15873.51563,53
3F,B'-4,0,-4.06362,0,779.2132448,0,-829.65575,18
3F,B'-5,0,-4.06362,0,-779.2132448,0,-829.65575,19
3F,B-2,0,-15.5628,0,5471.296875,0,-6614.19,10
3F,B-3,0,-19.71288,0,-5471.296875,0,-9934.254,11
3F,B-3',0,-4.15008,0,0,0,-3320.064,105
3F,C-2,0,-35.66475,0,10942.59375,0,-6619.59375,36
3F,C-3,0,-55.89639,0,-8141.28975,0,-15092.67375,37
3F,C-3',0,-4.15008,0,0,0,3320.064,104
3F,C-4,0,-30.642865,0,-2022.090755,0,-21811.09608,38
3F,C-5,0,-14.561305,0,-779.2132448,0,-10017.95208,39
3F,D-2,0,-20.10195,0,5471.296875,0,13233.78375,54
3F,D-3,0,-36.18351,0,-2669.992875,0,25026.92775,55
3F,D-4,0,-26.579245,0,-2801.304,0,22640.75183,56
3F,D-5,0,-10.497685,0,0,0,10847.60783,57
attic,B'-3',0,-4.23654,0,830.016,0,-882.6125,106
attic,B'-4,0,-8.30016,0,-50.80275521,0,-1712.26825,20
attic,B'-5,0,-4.06362,0,-779.2132448,0,-829.65575,21
attic,B-2,0,-12.19086,0,5323.3422,0,-3191.657451,13
attic,B-3,0,-16.34094,0,-5323.3422,0,-6511.721451,14
attic,B-3',0,-4.15008,0,0,0,-3320.064,103
attic,B1-2,0,-15.5628,0,7852.2972,0,3191.657451,73
attic,B1-3,0,-15.5628,0,-7852.2972,0,3191.657451,75
attic,C-2,0,-12.5475075,0,7246.725956,0,-1360.855603,40
attic,C-3,0,-32.7791475,0,-4445.421956,0,-9833.935603,41
attic,C-3',0,-8.38662,0,830.016,0,4202.6765,102
attic,C-4,0,-34.879405,0,-2852.106755,0,-20928.48358,42
attic,C-5,0,-14.561305,0,-779.2132448,0,-10017.95208,43
attic,C1-2,0,-20.10195,0,9844.065413,0,-937.1042753,74
attic,C1-3,0,-20.10195,0,-9844.065413,0,-937.1042753,76
attic,D-2,0,-10.9263825,0,5126.294456,0,2297.959878,58
attic,D-3,0,-27.0079425,0,-2324.990456,0,14091.10388,59
attic,D-4,0,-26.579245,0,-2801.304,0,22640.75183,60
attic,D-5,0,-10.497685,0,0,0,10847.60783,61
roof,B-2,0,-7.127661238,0,3804.88302,-1676.360913,-1554.254369,80
roof,B-3',0,-10.75748872,0,-3253.994155,1433.649493,-2989.84077,107
roof,B-4,0,-3.629827482,0,-550.8888649,242.7114199,-1435.586402,82
roof,B1-2,0,-7.127661238,0,3804.88302,-1676.360913,1554.254369,88
roof,B1-3',0,-10.75748872,0,-3253.994155,1433.649493,2989.84077,108
roof,B1-4,0,-3.629827482,0,-550.8888649,242.7114199,1435.586402,92
roof,C1-2,0,-4.097015804,0,1134.149963,499.6854455,-1084.079194,89
roof,C1-2A,0,-6.321110098,0,-952.4617656,-419.6369945,-1961.888479,90
roof,C1-3',0,-5.44317814,0,369.2006678,162.6629689,-1925.195364,110
roof,C1-4,0,-3.219083846,0,-550.8888649,-242.7114199,-1047.386079,93
roof,D-2,0,-4.097015804,0,1134.149963,499.6854455,1084.079194,83
roof,D-2A,0,-6.321110098,0,-952.4617656,-419.6369945,1961.888479,109
roof,D-3',0,-5.44317814,0,369.2006678,162.6629689,1925.195364,111
roof,D-4,0,-3.219083846,0,-550.8888649,-242.7114199,1047.386079,85
roof,uB1-2,0,-4.7252625,0,1638.091,0,-1259.453125,94
roof,uB1-2A,0,-11.00311125,0,1223.561722,0,-2909.796056,97
roof,uB1-4,0,-6.27784875,0,-2861.652722,0,-1650.342931,98
roof,uC1-2,0,-4.7252625,0,1638.091,0,1259.453125,95
roof,uC1-2A,0,-11.00311125,0,1223.561722,0,2909.796056,96
roof,uC1-4,0,-6.27784875,0,-2861.652722,0,1650.342931,99
