Node,UX,UY,UZ,RX,RY,RZ
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0.045259026,-0.078408676,0.072092491,9.8932E-05,-5.00397E-06,-6.06884E-05
5,-0.049194719,-0.109790612,0.216931183,0.000242353,-4.99682E-07,4.74979E-05
6,-0.094325703,-0.06967842,0.188277423,0.0002142,2.94278E-06,0.00010659
7,0.397987806,-0.220610881,0.690399564,0.000337985,-1.46783E-05,-0.000183855
8,0.028231185,-0.312664589,0.696564306,-8.68309E-05,-1.46573E-06,-0.00016853
9,-0.33307674,-0.195002116,0.700845164,1.6082E-06,8.63214E-06,-1.36165E-05
10,0.701114081,-0.31762396,1.050815712,0.000276908,-6.89387E-05,-0.000115824
11,0.288279835,-0.451910448,1.049895036,-1.06575E-05,-6.43229E-05,-0.000160718
12,-0.163266104,-0.289667259,1.049339414,0.000211676,-6.37151E-05,-0.000204136
13,0.876204883,-0.37801177,1.462604996,0.000292839,-0.000147995,-0.000168082
14,0.633196081,-0.536464717,1.460096273,-0.0001023,-3.84046E-05,-0.000272671
15,0.598726854,-0.347311422,1.461009946,8.30008E-05,-0.000112725,-0.000443599
16,0.032465569,-0.836113099,0.300528891,0.000153808,9.35098E-05,-6.22836E-05
17,-0.332548936,-0.443196626,0.297305792,-0.000406419,0.00016563,-5.9985E-05
18,-0.165312253,-0.930753829,1.000802962,0.002190106,-2.80589E-05,-6.85999E-05
19,-0.475309047,-7.039040881,1.000197852,0.002806575,-0.00010952,-2.10844E-05
20,0.596126394,-1.326858887,1.983569574,0.000699371,-7.10175E-05,-0.00012253
21,0.80270156,-3.860497084,1.98512933,0.001308419,6.4465E-06,-0.000438039
22,-0.333133111,-0.485346825,0.092442641,-0.000589349,7.67905E-06,-0.000114176
23,-0.810128187,1.207155245,0.089218401,-0.000654107,-0.000110454,-0.001059086
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,0.058109362,-0.16612655,-0.117364802,-0.000110653,2.37211E-06,-7.37244E-05
29,-0.034512709,-0.194971873,0.039717156,4.46732E-05,-1.43373E-05,3.25426E-05
30,-0.13512839,-0.16558298,0.075055738,7.92405E-05,-2.9031E-05,0.000146892
31,-0.596516854,-0.044991886,0.122379859,0.000126012,-1.31122E-05,0.000622172
32,0.40630658,-0.47791665,0.133807367,0.000455189,6.9582E-06,-0.000152377
33,0.039261978,-0.562529585,0.13505999,-9.87947E-06,-4.20559E-05,-0.000133786
34,-0.332289931,-0.476322168,0.125949701,-0.000122013,-8.51577E-05,-0.000135309
35,-0.811270089,-0.1225883,0.125727799,-0.000262604,-3.84624E-05,-0.001121388
36,0.709486695,-0.69915923,1.085437471,0.000532196,-3.84764E-05,-0.000110597
37,0.295035731,-0.873214059,1.086127362,-9.04774E-05,-6.76474E-05,-0.000137074
38,-0.166261103,-0.890719765,1.076699473,0.001210616,-9.32478E-05,-0.000304527
39,-0.476406335,-7.202829182,1.076702501,0.00319165,-2.83955E-05,-0.000265866
40,0.871287358,-0.852569254,2.30265836,0.000717673,-8.06902E-05,-7.35951E-05
41,0.616308684,-1.085277653,2.293887433,-0.000559733,-5.44054E-05,-0.000260684
42,0.588668212,-1.174156354,2.3006887,0.000894942,-1.53139E-05,-0.000466461
43,0.804790822,-5.087408251,2.299757238,0.00190903,-7.74928E-05,-0.00063877
44,-0.852017985,-7.601377863,0.152358084,-0.000620116,1.57835E-05,-2.56295E-05
45,-0.480705219,-7.683477533,0.839637309,0.000936164,-0.000114621,-0.000348731
46,0,0,0,0,0,0
47,0,0,0,0,0,0
48,0.131006675,-0.085402961,-0.007935387,-3.02125E-06,-1.85348E-05,-0.000146515
49,0.077313328,-0.16330303,-0.351645908,-0.000343014,-3.31411E-06,-7.87875E-05
50,0.424554599,-0.241127448,0.120346022,0.000119746,-5.43687E-05,4.93259E-05
51,0.058960597,-0.469634306,0.114532636,0.001134905,-9.72138E-06,0.000182261
52,-0.305571483,-6.915255135,0.107994301,0.000432949,-0.000196818,0.000365086
53,-0.866695618,-5.328219542,0.107374879,-0.000988691,1.73803E-05,0.002370752
54,0.724227063,-0.348863655,1.375897878,0.000465929,-7.16636E-05,-3.82118E-05
55,0.315921633,-0.767643829,1.373105856,0.000750101,-6.05406E-05,-3.06288E-05
56,-0.181116614,-6.963162822,1.36283507,0.001097085,-9.34309E-05,-0.000192654
57,-0.481460873,-8.891188306,1.360006713,0.000697368,-0.000279398,-0.000587131
58,0.860136868,-0.417929756,3.076482402,0.000270968,-7.57416E-05,0.000283825
59,0.583003359,-0.965006182,3.078917792,0.000831986,-1.41166E-05,0.000337956
60,0.562065936,-6.986296856,3.081225821,0.001260221,-1.16656E-05,-0.000233119
61,0.81259045,-9.360920262,3.082097293,0.00089392,0.000150708,-0.000846704
62,0,0,0,0,0,0
63,0,0,0,0,0,0
