Member_ID,Node_I,Node_J,Fx_I (kN),Fy_I (kN),Fz_I (kN),Mx_I (kN-mm),My_I (kN-mm),Mz_I (kN-mm),Fx_J (kN),Fy_J (kN),Fz_J (kN),Mx_J (kN-mm),My_J (kN-mm),Mz_J (kN-mm)
1,1,4,112.3857668,-0.040970216,0.053676787,66.66627194,432.4177471,1781.497444,-112.3857668,0.040970216,-0.053676787,-66.66627194,-512.9330393,-1842.952735
2,2,5,157.3665463,-2.161353291,-0.896094463,6.657306826,1829.981898,-3039.356582,-157.3665463,2.161353291,0.896094463,-6.657306826,-485.8381076,-202.6784324
3,3,6,99.87240314,-2.290689562,-0.703987096,-39.20531044,1551.393365,-4900.912293,-99.87240314,2.290689562,0.703987096,39.20531044,-495.411074,1464.872739
4,24,28,238.1147052,0.448483246,0.875920499,-31.60256909,-1185.619707,2537.856343,-238.1147052,-0.448483246,-0.875920499,31.60256909,-128.2631203,-1865.130454
5,25,29,349.3245722,-2.011804877,-0.309172277,51.45768128,648.7525007,-2723.557464,-349.3245722,2.011804877,0.309172277,-51.45768128,-184.9933592,-294.1544685
6,26,30,415.3372165,-6.956281024,-2.133874867,869.4017616,3629.440122,-12893.33993,-415.3372165,6.956281024,2.133874867,-869.4017616,-428.6231378,2458.902954
7,27,31,96.73256386,-31.02869115,-2.396907813,307.2134996,3829.628782,-51139.73908,-96.73256386,31.02869115,2.396907813,-307.2134996,-234.2613773,4596.630668
8,46,48,122.4109201,3.363605782,0.144466147,246.9330709,-122.7836103,6897.813899,-122.4109201,-3.363605782,-0.144466147,-246.9330709,-93.9159474,-1852.397747
9,47,49,351.1014581,4.353194418,8.117146656,77.64816884,-11618.97874,6793.93385,-351.1014581,-4.353194418,-8.117146656,-77.64816884,-556.7596374,-264.1322414
10,62,64,17.78126184,2.646505324,1.326754561,34.1897522,-1927.578131,4138.348881,-17.78126184,-2.646505324,-1.326754561,-34.1897522,-62.55692227,-168.5849724
11,63,65,113.688558,33.6780016,-4.077928159,-329.8564338,6023.252917,43255.82522,-113.688558,-33.6780016,4.077928159,329.8564338,93.64851642,7261.254212
12,1,2,0,0,0,0,0,0,0,0,0,0,0,0
13,2,3,0,0,0,0,0,0,0,0,0,0,0,0
14,3,26,0,0,0,0,0,0,0,0,0,0,0,0
15,2,25,0,0,0,0,0,0,0,0,0,0,0,0
16,1,24,0,0,0,0,0,0,0,0,0,0,0,0
17,24,46,0,0,0,0,0,0,0,0,0,0,0,0
18,25,24,0,0,0,0,0,0,0,0,0,0,0,0
19,25,47,0,0,0,0,0,0,0,0,0,0,0,0
20,46,47,0,0,0,0,0,0,0,0,0,0,0,0
21,63,27,0,0,0,0,0,0,0,0,0,0,0,0
22,4,7,105.4257654,-0.040970216,0.053676787,66.66627194,512.9330393,1842.952735,-105.4257654,0.040970216,-0.053676787,-66.66627194,-668.595959,-1961.766627
23,5,8,150.4065449,-2.161353291,-0.896094463,6.657306826,485.8381076,202.6784324,-150.4065449,2.161353291,0.896094463,-6.657306826,2112.839843,-6470.613073
24,6,9,92.91240175,-2.290689562,-0.703987096,-39.20531044,495.411074,-1464.872739,-92.91240175,2.290689562,0.703987096,39.20531044,1546.154733,-5178.136806
25,28,32,231.1547038,0.448483246,0.875920499,-31.60256909,128.2631203,1865.130454,-231.1547038,-0.448483246,-0.875920499,31.60256909,-2668.436633,-564.5271298
26,29,33,340.6245917,-2.011804877,-0.309172277,51.45768128,184.9933592,294.1544685,-340.6245917,2.011804877,0.309172277,-51.45768128,711.6076909,-6128.397531
