Member_ID,End,Fx,Fy,Fz,Mx,My,Mz,End,Fx,Fy,Fz,Mx,My,Mz
1,Node_I,26.222582,0.236137,-0.101758,0.407212,10.131225,32.049618,Node_J,-26.222582,-0.236137,0.101758,-0.407212,-4.121886,-18.104546
2,Node_I,34.003872,-0.371348,-0.132102,0.383324,11.884939,-17.037029,Node_J,-34.003872,0.371348,0.132102,-0.383324,-4.083637,-4.892977
3,Node_I,25.457071,-0.965822,-0.127499,0.186112,11.625269,-73.302025,Node_J,-25.457071,0.965822,0.127499,-0.186112,-4.095797,16.265305
4,Node_I,54.136276,0.314021,-0.000455,-0.400632,1.26829,36.545738,Node_J,-54.136276,-0.314021,0.000455,0.400632,-1.241442,-18.001207
5,Node_I,75.280869,0.134581,0.012499,0.586442,1.633999,13.370589,Node_J,-75.280869,-0.134581,-0.012499,-0.586442,-2.372132,-5.422873
6,Node_I,91.891571,-1.367309,-0.39662,11.412001,28.998827,-110.344978,Node_J,-91.891571,1.367309,0.39662,-11.412001,-5.576409,29.598356
7,Node_I,21.803123,-6.213177,-0.530608,3.632545,34.466778,-429.473541,Node_J,-21.803123,6.213177,0.530608,-3.632545,-3.131687,62.553627
8,Node_I,28.6042,0.308881,-0.08847,1.714557,5.725773,36.091328,Node_J,-28.6042,-0.308881,0.08847,-1.714557,-0.501161,-17.850332
9,Node_I,77.225388,0.24926,1.948203,1.34905,-110.6278,20.511646,Node_J,-77.225388,-0.24926,-1.948203,-1.34905,-4.423534,-5.791569
10,Node_I,5.106015,0.726899,0.180563,1.712869,-10.121802,45.879742,Node_J,-5.106015,-0.726899,-0.180563,-1.712869,-0.541359,-2.952613
11,Node_I,26.548864,6.947878,-0.763753,-0.932076,45.000523,326.324707,Node_J,-26.548864,-6.947878,0.763753,0.932076,0.103028,83.983032
12,Node_I,0,0,0,0,0,0,Node_J,0,0,0,0,0,0
13,Node_I,0,0,0,0,0,0,Node_J,0,0,0,0,0,0
14,Node_I,0,0,0,0,0,0,Node_J,0,0,0,0,0,0
15,Node_I,0,0,0,0,0,0,Node_J,0,0,0,0,0,0
16,Node_I,0,0,0,0,0,0,Node_J,0,0,0,0,0,0
17,Node_I,0,0,0,0,0,0,Node_J,0,0,0,0,0,0
18,Node_I,0,0,0,0,0,0,Node_J,0,0,0,0,0,0
19,Node_I,0,0,0,0,0,0,Node_J,0,0,0,0,0,0
20,Node_I,0,0,0,0,0,0,Node_J,0,0,0,0,0,0
21,Node_I,0,0,0,0,0,0,Node_J,0,0,0,0,0,0
22,Node_I,24.657911,0.236137,-0.101758,0.407212,4.121886,18.104546,Node_J,-24.657911,-0.236137,0.101758,-0.407212,7.496169,8.855929
23,Node_I,32.439201,-0.371348,-0.132102,0.383324,4.083637,4.892977,Node_J,-32.439201,0.371348,0.132102,-0.383324,10.998882,-47.290989
24,Node_I,23.892401,-0.965822,-0.127499,0.186112,4.095797,-16.265305,Node_J,-23.892401,0.965822,0.127499,-0.186112,10.461182,-94.005684
25,Node_I,52.571606,0.314021,-0.000455,-0.400632,1.241442,18.001207,Node_J,-52.571606,-0.314021,0.000455,0.400632,-1.189536,17.851549
