Node,Fx,Fy,Fz,Mx,My,Mz
1,-0.236137,29.038988,-0.101758,-10.159902,0.407212,32.082245
2,0.371348,37.608009,-0.132102,-11.87513,0.383324,-17.0044
3,0.965822,28.090034,-0.127499,-11.606402,0.186112,-73.269394
24,-0.314021,58.290745,-0.000455,-1.296966,-0.400632,36.567543
25,-0.134581,79.637665,0.012499,-1.605323,0.586442,13.392398
26,1.367309,94.343788,-0.39662,-28.998827,11.412001,-110.377609
27,6.213177,27.662542,-0.530608,-34.466778,3.632545,-429.223572
46,-0.308881,31.72275,-0.08847,-5.754449,1.714557,36.036892
47,-0.24926,80.748589,1.948203,110.656479,1.34905,20.457211
62,-0.726899,5.915327,0.180563,10.121802,1.712869,45.879742
63,-6.947878,32.408283,-0.763753,-45.000523,-0.932076,326.074738
