Slab Index,Floor,Node_1_ID,Node_2_ID,Node_3_ID,Node_4_ID,DL,LL,Lx,Lz,Theta_deg
2F-B-C-2-3,2F,B-3,C-3,B-2,C-2,0.000000002,2.88E-06,4800,4500,0
2F-C-D-2-3,2F,C-3,D-3,C-2,D-2,0.000000002,2.88E-06,6200,4500,0
2F-B'-C-3-4,2F,B'-4,C-4,B'-3,C-3,0.000000002,2.88E-06,2600,3600,0
2F-C-D-3-4,2F,C-4,D-4,C-3,D-3,0.000000002,2.88E-06,6200,3600,0
2F-B1-D-4-5,2F,B1-5,D-5,B1-4,D-4,0.000000002,2.88E-06,7500,2350,0
3F-B-C-2-3,3F,B-3,C-3,B-2,C-2,0.000000002,2.88E-06,4800,4500,0
3F-C-D-2-3,3F,C-3,D-3,C-2,D-2,0.000000002,2.88E-06,6200,4500,0
3F-B-C-3-3',3F,B-3',C-3',B-3,C-3,0.000000002,2.88E-06,4800,1200,0
3F-C-D-3-4,3F,C-4,D-4,C-3,D-3,0.000000002,2.88E-06,6200,3600,0
3F-B'-C-4-5,3F,B'-5,C-5,B'-4,C-4,0.000000002,2.88E-06,2400,2350,0
3F-C-D-4-5,3F,C-5,D-5,C-4,D-4,0.000000002,2.88E-06,6200,2350,0
attic-B-B1-2-3,attic,B-3,B1-3,B-2,B1-2,0.000000002,2.88E-06,3760,4500,0
attic-B1-C-2-3,attic,B1-3,C-3,B1-2,C-2,0.000000002,2.88E-06,1040,4500,0
attic-C-C1-2-3,attic,C-3,C1-3,C-2,C1-2,0.000000002,2.88E-06,2830,4500,0
attic-C1-D-2-3,attic,C1-3,D-3,C1-2,D-2,0.000000002,2.88E-06,3370,4500,0
attic-B-C-3-3',attic,B-3',C-3',B-3,C-3,0.000000002,2.88E-06,4800,1200,0
attic-C-D-3-4,attic,C-4,D-4,C-3,D-3,0.000000002,2.88E-06,6200,3600,0
attic-B'-C-3'-4,attic,B'-4,C-4,B'-3',C-3',0.000000002,2.88E-06,2450,2400,0
attic-B'-C-4-5,attic,B'-5,C-5,B'-4,C-4,0.000000002,2.88E-06,2400,2350,0
attic-C-D-4-5,attic,C-5,D-5,C-4,D-4,0.000000002,2.88E-06,6200,2350,0
roof-B-B1-2-3',roof,B-3',B1-3',B-2,B1-2,0.00000045,0.00000096,3800,5400,-11.8887
roof-B-B1-3'-4,roof,B-4,B1-4,B-3',B1-3',0.00000045,0.00000096,3800,2750,-11.8887
roof-B1-C1-2-2A,roof,uB1-2A,uC1-2A,uB1-2,uC1-2,0.00000045,0.00000096,3500,3830,0
roof-B1-C1-2A-4,roof,uB1-4,uC1-4,uB1-2A,uC1-2A,0.00000045,0.00000096,3830,4650,0
roof-C1-D-2-2A,roof,C1-2A,D-2A,C1-2,D-2,0.00000045,0.00000096,3370,3500,11.8887
roof-C1-D-2A-3',roof,C1-3',D-3',C1-2A,D-2A,0.00000045,0.00000096,3370,1900,11.8887
roof-C1-D-3'-4,roof,C1-4,D-4,C1-3',D-3',0.00000045,0.00000096,3370,2750,11.8887
